age,weight,height,gender,likeness
30.0,73.8,170.18,Male,Pakora
32.0,80,170,Male,Biryani
29.0,74,165,Male,Biryani
27.0,80,157,Male,Biryani
31.0,54,166,Female,Biryani
27.0,62,145.5,Male,Biryani
25.0,64,164,Male,Samosa
34.0,82,175,Male,Pakora
40.0,80,153,Male,Biryani
34.0,79,175.5,Male,Samosa
20.0,40,151,Female,Biryani
32.0,74,173,Male,Biryani
34.0,98,176.5,Male,Biryani
31.0,86,172,Male,Biryani
24.0,57,173.7,Male,Biryani
28.0,65,151,Female,Samosa
30.0,75,173.73,Female,Biryani
28.0,56,165,Female,Biryani
20.0,78,173,Male,Pakora
27.0,88,170,Male,Samosa
28.0,62,153,Female,Biryani
24.0,75,173.5,Male,Biryani
27.0,85,169,Male,Biryani
37.0,80,175.5,Male,Samosa
28.0,74,174,Male,Biryani
24.0,45,170.77,Female,Pakora
33.0,74,170,Male,Biryani
29.0,88.2,182.88,Male,Samosa
28.0,77,178,Male,Biryani
26.0,60,162,Female,Biryani
23.0,68,154,Male,Pakora
30.0,78,172,Male,Biryani
43.0,85,178,Male,Biryani
26.0,62,134,Female,Biryani
25.0,70,165,Male,Samosa
21.0,60,167.4,Male,Biryani
26.0,74,155,Male,Biryani
20.0,48,150,Female,Biryani
22.0,53,158,Male,Biryani
22.0,64,171,Male,Samosa
20.0,26,140,Female,Biryani
27.0,59,164.5,Female,Biryani
27.0,96,179.8,Male,Biryani
35.0,64,176,Male,Samosa
27.0,68,159,Male,Biryani
38.0,72.2,163.5,Male,Pakora
25.0,66,166,Male,Biryani
36.0,68,164,Male,Pakora
20.0,48,155,Male,Biryani
30.0,50,165,Female,Biryani
24.0,60,114,Male,Biryani
22.0,50,160,Male,Samosa
27.0,63,165,Male,Biryani
31.0,60,160,Male,Pakora
26.0,70,172,Male,Biryani
40.0,80,178,Male,Biryani
25.0,65,157,Male,Biryani
33.0,56,157,Female,Samosa
